GEO Id	GEO.display-label	Target Geo Id	display label	HC10	HC10	HC10
State Id	Geography	District Id	Geographical Area	65 years and over - Percent	Population 25 years and over - Percent with bachelor's degree or higher	Income in 1999 below poverty level - Percent of population for whom poverty status is determined - All ages
0400000US39	Ohio	5000600US3901	Ohio - Congressional District 1 (106th Congress)	13.2	22.2	15.6
0400000US39	Ohio	5000600US3902	Ohio - Congressional District 2 (106th Congress)	11.9	30.2	6.5
0400000US39	Ohio	5000600US3903	Ohio - Congressional District 3 (106th Congress)	13.7	22.9	11.4
0400000US39	Ohio	5000600US3904	Ohio - Congressional District 4 (106th Congress)	13.8	13.1	9.9
0400000US39	Ohio	5000600US3905	Ohio - Congressional District 5 (106th Congress)	13.7	15.1	7.2
0400000US39	Ohio	5000600US3906	Ohio - Congressional District 6 (106th Congress)	13	14.5	15.3
0400000US39	Ohio	5000600US3907	Ohio - Congressional District 7 (106th Congress)	12.4	19	8.4
0400000US39	Ohio	5000600US3908	Ohio - Congressional District 8 (106th Congress)	12.1	18.6	7.7
0400000US39	Ohio	5000600US3909	Ohio - Congressional District 9 (106th Congress)	12.7	20.2	12.8
0400000US39	Ohio	5000600US3910	Ohio - Congressional District 10 (106th Congress)	14.7	24.9	10.4
0400000US39	Ohio	5000600US3911	Ohio - Congressional District 11 (106th Congress)	14.4	21.7	21
0400000US39	Ohio	5000600US3912	Ohio - Congressional District 12 (106th Congress)	9.6	31.2	10.7
0400000US39	Ohio	5000600US3913	Ohio - Congressional District 13 (106th Congress)	11.9	22.6	6.6
0400000US39	Ohio	5000600US3914	Ohio - Congressional District 14 (106th Congress)	13.8	24.1	10.8
0400000US39	Ohio	5000600US3915	Ohio - Congressional District 15 (106th Congress)	9.9	31.4	10.2
0400000US39	Ohio	5000600US3916	Ohio - Congressional District 16 (106th Congress)	14.2	17.1	9.4
0400000US39	Ohio	5000600US3917	Ohio - Congressional District 17 (106th Congress)	16.7	15.3	11.7
0400000US39	Ohio	5000600US3918	Ohio - Congressional District 18 (106th Congress)	15.2	10.8	12.6
0400000US39	Ohio	5000600US3919	Ohio - Congressional District 19 (106th Congress)	16.8	24.1	5.9
