GEO ID	GEO.display-label	Target Geo Id	display label	65_over	HC01	HC01
State Id	Geography	District Id	Geographic Area	Percent	Bachelor's Percent	Poverty_Percent
0400000US39	Ohio	5001300US3901	Ohio - Congressional District 1 (113th Congress)	12.2	30.1	16.2
0400000US39	Ohio	5001300US3902	Ohio - Congressional District 2 (113th Congress)	14	28.4	14
0400000US39	Ohio	5001300US3903	Ohio - Congressional District 3 (113th Congress)	9.2	25.5	23.5
0400000US39	Ohio	5001300US3904	Ohio - Congressional District 4 (113th Congress)	14.5	15.8	14.2
0400000US39	Ohio	5001300US3905	Ohio - Congressional District 5 (113th Congress)	14.7	23.4	12
0400000US39	Ohio	5001300US3906	Ohio - Congressional District 6 (113th Congress)	16.8	14.3	16.3
0400000US39	Ohio	5001300US3907	Ohio - Congressional District 7 (113th Congress)	15.2	18	13.7
0400000US39	Ohio	5001300US3908	Ohio - Congressional District 8 (113th Congress)	13.8	21.6	13.7
0400000US39	Ohio	5001300US3909	Ohio - Congressional District 9 (113th Congress)	13.5	20	21.1
0400000US39	Ohio	5001300US3910	Ohio - Congressional District 10 (113th Congress)	15	26.4	16.2
0400000US39	Ohio	5001300US3911	Ohio - Congressional District 11 (113th Congress)	14.6	25.1	26.1
0400000US39	Ohio	5001300US3912	Ohio - Congressional District 12 (113th Congress)	12.3	37.3	10.7
0400000US39	Ohio	5001300US3913	Ohio - Congressional District 13 (113th Congress)	15.9	20	18.5
0400000US39	Ohio	5001300US3914	Ohio - Congressional District 14 (113th Congress)	16.1	31.4	8.9
0400000US39	Ohio	5001300US3915	Ohio - Congressional District 15 (113th Congress)	12.5	27.9	13.5
0400000US39	Ohio	5001300US3916	Ohio - Congressional District 16 (113th Congress)	16.5	30.7	7.2
